individual_ID,temp_tmt_C,humidity_tmt_percent,trial_number,conclusion,notes
43,40,humid,1,canceled,
33,40,humid,1,died,
31,40,humid,1,canceled,
53,40,dry,1,died,
35,40,dry,1,died,
32,40,dry,1,died,
47,25,humid,1,complete,
52,25,humid,1,complete,
40,25,humid,1,complete,
39,25,dry,1,complete,
49,25,dry,1,complete,
37,25,dry,1,complete,
70,35,dry,2,canceled,
76,35,dry,2,canceled,
77,35,dry,2,canceled,
58,35,dry,2,canceled,
67,35,humid,2,canceled,"tail tip gone, nothing regrown yet"
79,35,humid,2,canceled,
75,35,humid,2,canceled,
72,35,humid,2,canceled,regrowing tail
73,25,humid,2,complete,
54,25,humid,2,complete,
69,25,humid,2,complete,
80,25,humid,2,complete,
64,25,dry,2,complete,
61,25,dry,2,complete,"tail tip gone, nothing regrown yet"
74,25,dry,2,complete,
66,25,dry,2,complete,
98,25,dry,3,complete,
97,25,dry,3,complete,
95,25,dry,3,complete,
81,25,dry,3,complete,
91,25,dry,3,complete,
87,25,dry,3,complete,
99,25,humid,3,complete,
96,25,humid,3,complete,
92,25,humid,3,complete,
89,25,humid,3,complete,
88,25,humid,3,complete,
93,25,humid,3,complete,