date,individual_ID,cloacal_temp_C,time
2021/04/28,49,23,15:09
2021/04/28,52,23,15:16
2021/04/28,47,23,15:26
2021/04/28,39,25,15:32
2021/04/28,37,25,15:38
2021/04/28,40,25,15:51
2021/05/04,80,21,10:34
2021/05/04,74,21,10:40
2021/05/04,61,21,10:47
2021/05/04,54,20,10:59
2021/05/04,73,19,11:06
2021/05/04,66,22,11:26
2021/05/11,81,24,10:22
2021/05/11,99,21,10:33
2021/05/11,92,23,10:42
2021/05/11,96,22,10:48
2021/05/11,98,23,10:56
2021/05/11,97,23,11:11
2021/05/11,93,21,11:20
2021/05/11,88,21,11:27
2021/05/11,89,21,11:35
2021/05/11,95,23,11:44
2021/05/11,91,23,11:55
2021/05/18,114,25,10:40
2021/05/18,108,26,10:52
2021/05/18,122,23,11:00
2021/05/18,103,22,11:06
2021/05/18,117,20,11:19
2021/05/18,101,22,11:27
2021/05/18,105,23,11:36
2021/05/18,102,21,11:42
2021/05/18,109,22,11:52
2021/05/18,118,21,11:59
2021/05/18,104,23,12:08
2021/05/18,113,23,12:16