"","date","collect_time","individual_ID","SVL_mm","mass_g","sex_M_F","gravid_Y_N","blood_sample_eye","hematocrit_percent","osmolality_mmol_kg","cloacal_temp_C","processing_time","hemolyzed","collect_date_time","hold_time"
"1",2021-04-05,2021-06-22 10:40:00,1,59,8,"F","N","R",NA,331,22,2021-06-22 13:33:00,"N",2021-04-05 10:40:00,173
"2",2021-04-05,2021-06-22 10:55:00,2,70,13.1,"M",NA,"R",NA,337,26,2021-06-22 13:31:00,"N",2021-04-05 10:55:00,156
"3",2021-04-05,2021-06-22 10:25:00,3,69,12.2,"M",NA,"R",NA,309,26,2021-06-22 13:39:00,"N",2021-04-05 10:25:00,194
"4",2021-04-05,2021-06-22 10:38:00,4,48,4.2,"M",NA,"R",NA,341,26,2021-06-22 14:02:00,"Y",2021-04-05 10:38:00,204
"5",2021-04-05,2021-06-22 10:17:00,5,50,4.1,"M",NA,"R",NA,354,25,2021-06-22 13:59:00,"Y",2021-04-05 10:17:00,222
"6",2021-04-05,2021-06-22 10:47:00,6,48,4.6,"M",NA,"L",NA,355,24,2021-06-22 14:06:00,"N",2021-04-05 10:47:00,199
"7",2021-04-05,2021-06-22 10:39:00,7,63,9.4,"F","N","R",NA,321,NA,2021-06-22 14:13:00,"N",2021-04-05 10:39:00,214
"8",2021-04-05,2021-06-22 10:42:00,8,42,2.3,"M",NA,"R",NA,304,23,2021-06-22 14:20:00,"N",2021-04-05 10:42:00,218
"9",2021-04-05,2021-06-22 13:27:00,9,46,3.1,"F","N","L",NA,NA,23,2021-06-22 14:43:00,NA,2021-04-05 13:27:00,76
"10",2021-04-05,2021-06-22 13:40:00,10,68,12.5,"M",NA,"R",NA,324,22,2021-06-22 15:04:00,"N",2021-04-05 13:40:00,84
"11",2021-04-05,2021-06-22 13:39:00,11,65,10,"M",NA,"R",NA,310,23,2021-06-22 15:14:00,"N",2021-04-05 13:39:00,95
"12",2021-04-05,2021-06-22 13:35:00,12,65,12.2,"M",NA,"R",NA,341,22,2021-06-22 15:25:00,"Y",2021-04-05 13:35:00,110
"13",2021-04-05,2021-06-22 13:26:00,13,70,13.8,"M",NA,"R",NA,336,22,2021-06-22 15:38:00,"N",2021-04-05 13:26:00,132
"14",2021-04-05,2021-06-22 14:04:00,14,65,10.6,"M",NA,"R",NA,341,22,2021-06-22 15:46:00,"N",2021-04-05 14:04:00,102
"15",2021-04-05,2021-06-22 13:58:00,15,67,14.1,"M",NA,"R",NA,300,22,2021-06-22 15:54:00,"N",2021-04-05 13:58:00,116
"16",2021-04-05,2021-06-22 13:28:00,16,63,8.1,"M",NA,"R",NA,316,21,2021-06-22 16:08:00,"N",2021-04-05 13:28:00,160
"17",2021-04-05,2021-06-22 13:41:00,17,64,12.5,"M",NA,"R",NA,296,21,2021-06-22 16:16:00,"N",2021-04-05 13:41:00,155
"18",2021-04-05,2021-06-22 13:50:00,18,72,12.3,"M",NA,"R",NA,303,21,2021-06-22 16:27:00,"N",2021-04-05 13:50:00,157
"19",2021-04-05,NA,19,66,11.5,"M",NA,"R",NA,NA,22,2021-06-22 16:37:00,"N",NA,NA
"20",2021-04-05,2021-06-22 15:03:00,20,65,9.3,"M",NA,"R",NA,327,20,NA,"N",2021-04-05 15:03:00,NA
"21",2021-04-05,NA,21,66,13.9,"M",NA,"R",NA,307,21,NA,"N",NA,NA
"22",2021-04-05,2021-06-22 14:40:00,22,58,6.4,"M",NA,"L",NA,336,NA,NA,"N",2021-04-05 14:40:00,NA
"23",2021-04-05,2021-06-22 14:20:00,24,60,6.5,"M",NA,"R",NA,325,21,2021-06-22 17:38:00,"N",2021-04-05 14:20:00,198
"24",2021-04-05,2021-06-22 14:36:00,25,62,10.8,"M",NA,"R",NA,NA,NA,NA,NA,2021-04-05 14:36:00,NA
"25",2021-04-05,2021-06-22 13:25:00,26,64,7.7,"F","N","R",NA,340,21,2021-06-22 16:45:00,"N",2021-04-05 13:25:00,200
"26",2021-04-05,2021-06-22 14:03:00,27,69,14.1,"M",NA,"R",NA,293,21,2021-06-22 17:00:00,"N",2021-04-05 14:03:00,177
"27",2021-04-05,2021-06-22 13:28:00,28,66,12.8,"M",NA,"L",NA,328,NA,NA,"N",2021-04-05 13:28:00,NA
"28",2021-04-05,2021-06-22 13:55:00,29,63,10.3,"M",NA,"R",35,323,20,2021-06-22 17:29:00,"N",2021-04-05 13:55:00,214
"29",2021-04-05,NA,30,66,12,"M",NA,"R",39,313,21,2021-06-22 17:20:00,"N",NA,NA
"30",2021-04-19,2021-06-22 11:58:00,31,70,12.7,"M",NA,"R",44,336,26,2021-06-22 12:44:00,"N",2021-04-19 11:58:00,46
"31",2021-04-19,2021-06-22 11:42:00,32,65,14.6,"M",NA,"R",37,356,25,2021-06-22 12:53:00,"Y",2021-04-19 11:42:00,71
"32",2021-04-19,2021-06-22 11:33:00,33,63,8.9,"M",NA,"R",29,373,25,2021-06-22 13:17:00,"Y",2021-04-19 11:33:00,104
"33",2021-04-19,2021-06-22 11:29:00,34,59,8.1,"F","Y","R",24,381,24,2021-06-22 13:08:00,"Y",2021-04-19 11:29:00,99
"34",2021-04-19,2021-06-22 12:32:00,35,68,11.1,"M",NA,"R",38,337,24,2021-06-22 13:29:00,"N",2021-04-19 12:32:00,57
"35",2021-04-19,2021-06-22 12:49:00,36,64,9.8,"F","Y","R",41,345,24,2021-06-22 13:38:00,"N",2021-04-19 12:49:00,49
"36",2021-04-19,2021-06-22 12:40:00,37,68,12.6,"M",NA,"R",32,334,24,2021-06-22 13:44:00,"N",2021-04-19 12:40:00,64
"37",2021-04-19,2021-06-22 12:49:00,38,66,10.2,"F","N","R",29,319,25,2021-06-22 13:56:00,"N",2021-04-19 12:49:00,67
"38",2021-04-19,2021-06-22 12:54:00,39,60,8.2,"M",NA,"R",34,330,26,2021-06-22 14:04:00,"Y",2021-04-19 12:54:00,70
"39",2021-04-19,2021-06-22 12:57:00,40,68,12.9,"M",NA,"R",25,368,25,2021-06-22 14:14:00,"N",2021-04-19 12:57:00,77
"40",2021-04-19,2021-06-22 13:08:00,41,65,8,"M",NA,"R",33,367,25,2021-06-22 14:31:00,"Y",2021-04-19 13:08:00,83
"41",2021-04-19,2021-06-22 13:14:00,42,69,11.8,"M",NA,"R",35,329,25,2021-06-22 14:23:00,"N",2021-04-19 13:14:00,69
"42",2021-04-19,2021-06-22 12:44:00,43,68,13.8,"M",NA,"R",16,333,23,2021-06-22 14:43:00,"N",2021-04-19 12:44:00,119
"43",2021-04-19,2021-06-22 12:48:00,44,64,12.1,"F","Y","R",37,349,23,2021-06-22 14:53:00,"N",2021-04-19 12:48:00,125
"44",2021-04-19,2021-06-22 13:10:00,45,63,9.8,"F","N","R",35,322,23,2021-06-22 15:08:00,"N",2021-04-19 13:10:00,118
"45",2021-04-19,2021-06-22 12:42:00,46,62,8,"F","N","R",36,367,20,2021-06-22 15:52:00,"Y",2021-04-19 12:42:00,190
"46",2021-04-19,2021-06-22 12:54:00,47,59,8.2,"M",NA,"R",29,352,21,2021-06-22 16:00:00,"N",2021-04-19 12:54:00,186
"47",2021-04-19,2021-06-22 13:11:00,48,70,12.3,"F","Y","R",24,353,21,2021-06-22 16:20:00,"N",2021-04-19 13:11:00,189
"48",2021-04-19,2021-06-22 12:42:00,49,72,13.5,"M",NA,"R",29,335,24,2021-06-22 16:30:00,"N",2021-04-19 12:42:00,228
"49",2021-04-19,2021-06-22 12:50:00,50,64,11,"F","Y","R",35,366,23,2021-06-22 16:40:00,"Y",2021-04-19 12:50:00,230
"50",2021-04-19,2021-06-22 12:55:00,51,68,11.8,"F","N","R",35,350,23,2021-06-22 17:00:00,"Y",2021-04-19 12:55:00,245
"51",2021-04-19,2021-06-22 13:11:00,52,63,12.6,"M",NA,"R",36,319,21,2021-06-22 16:09:00,"N",2021-04-19 13:11:00,178
"52",2021-04-19,2021-06-22 13:04:00,53,65,12.9,"M",NA,"R",34,346,NA,NA,"N",2021-04-19 13:04:00,NA
"53",2021-04-26,2021-06-22 12:32:00,54,70,11.5,"M",NA,"R",37,388,26,2021-06-22 13:07:00,"N",2021-04-26 12:32:00,35
"54",2021-04-26,2021-06-22 12:32:00,55,46,3.2,"F","N","R",37,373,27,2021-06-22 13:16:00,"N",2021-04-26 12:32:00,44
"55",2021-04-26,2021-06-22 12:38:00,57,65,10.3,"F","N","R",30,388,26,2021-06-22 13:27:00,"N",2021-04-26 12:38:00,49
"56",2021-04-26,2021-06-22 12:40:00,58,72,14.7,"M",NA,"R",33,417,25,2021-06-22 13:38:00,"N",2021-04-26 12:40:00,58
"57",2021-04-26,2021-06-22 12:41:00,59,71,11.9,"F","Y","both",35,428,23,2021-06-22 14:01:00,"N",2021-04-26 12:41:00,80
"58",2021-04-26,2021-06-22 12:35:00,60,68,7.3,"F","Y","R",32,408,26,2021-06-22 14:12:00,"N",2021-04-26 12:35:00,97
"59",2021-04-26,2021-06-22 12:45:00,61,67,11.1,"M",NA,"R",42,384,27,2021-06-22 14:19:00,"N",2021-04-26 12:45:00,94
"60",2021-04-26,2021-06-22 12:47:00,62,51,5.2,"M",NA,"R",40,400,26,2021-06-22 14:28:00,"N",2021-04-26 12:47:00,101
"61",2021-04-26,2021-06-22 12:50:00,63,68,11.4,"F","N","R",34,405,25,2021-06-22 14:40:00,"N",2021-04-26 12:50:00,110
"62",2021-04-26,2021-06-22 12:57:00,64,65,10.3,"M",NA,"R",30,378,22,2021-06-22 15:20:00,"Y",2021-04-26 12:57:00,143
"63",2021-04-26,2021-06-22 12:40:00,65,48,4,"M",NA,"R",40,394,25,2021-06-22 15:26:00,NA,2021-04-26 12:40:00,166
"64",2021-04-26,2021-06-22 12:50:00,66,73,13.7,"M",NA,"R",38,371,24,2021-06-22 15:35:00,"Y",2021-04-26 12:50:00,165
"65",2021-04-26,2021-06-22 13:02:00,67,64,10.5,"M",NA,"R",32,402,24,2021-06-22 15:41:00,"N",2021-04-26 13:02:00,159
"66",2021-04-26,2021-06-22 13:07:00,68,72,14.1,"F","Y","R",33,413,22,2021-06-22 15:49:00,"N",2021-04-26 13:07:00,162
"67",2021-04-26,2021-06-22 13:23:00,69,70,12.8,"M",NA,"R",49,418,24,2021-06-22 15:57:00,"N",2021-04-26 13:23:00,154
"68",2021-04-26,2021-06-22 13:17:00,70,69,11.8,"M",NA,"R",43,422,23,2021-06-22 16:04:00,"N",2021-04-26 13:17:00,167
"69",2021-04-26,2021-06-22 12:55:00,71,68,12.5,"F","Y","R",37,412,22,2021-06-22 16:11:00,"N",2021-04-26 12:55:00,196
"70",2021-04-26,2021-06-22 13:02:00,72,70,14.2,"M",NA,"R",33,366,23,2021-06-22 16:20:00,"Y",2021-04-26 13:02:00,198
"71",2021-04-26,2021-06-22 12:45:00,73,66,9.7,"M",NA,"R",37,405,22,2021-06-22 16:28:00,"N",2021-04-26 12:45:00,223
"72",2021-04-26,2021-06-22 13:11:00,74,65,12.3,"M",NA,"R",37,393,21,2021-06-22 16:37:00,"N",2021-04-26 13:11:00,206
"73",2021-04-26,2021-06-22 13:02:00,75,68,12.8,"M",NA,"R",52,423,21,2021-06-22 16:47:00,"N",2021-04-26 13:02:00,225
"74",2021-04-26,2021-06-22 13:07:00,76,67,11.4,"M",NA,"R",36,398,21,2021-06-22 16:57:00,"N",2021-04-26 13:07:00,230
"75",2021-04-26,2021-06-22 15:44:00,77,71,13.5,"M",NA,"R",38,384,22,2021-06-22 17:05:00,"N",2021-04-26 15:44:00,81
"76",2021-04-26,2021-06-22 15:25:00,78,64,10.3,"F","N","R",28,401,21,2021-06-22 17:14:00,"N",2021-04-26 15:25:00,109
"77",2021-04-26,2021-06-22 15:34:00,79,65,11.3,"M",NA,"R",37,383,21,2021-06-22 17:24:00,"Y",2021-04-26 15:34:00,110
"78",2021-04-26,2021-06-22 15:57:00,80,68,13.7,"M",NA,"R",34,409,NA,NA,"N",2021-04-26 15:57:00,NA
"79",2021-05-03,2021-06-22 12:32:00,81,69,12.1,"M",NA,"R",43,411,28,2021-06-22 12:53:00,"Y",2021-05-03 12:32:00,21
"80",2021-05-03,2021-06-22 12:07:00,82,58,6.3,"M",NA,"R",39,400,27,2021-06-22 13:03:00,"N",2021-05-03 12:07:00,56
"81",2021-05-03,2021-06-22 12:37:00,83,56,5.8,"F","N","R",38,387,27,2021-06-22 13:12:00,"N",2021-05-03 12:37:00,35
"82",2021-05-03,2021-06-22 12:42:00,84,53,5.5,"F","Y","R",35,402,28,2021-06-22 13:23:00,"Y",2021-05-03 12:42:00,41
"83",2021-05-03,2021-06-22 12:36:00,85,49,4.6,"M",NA,"R",34,380,24,2021-06-22 14:13:00,"Y",2021-05-03 12:36:00,97
"84",2021-05-03,2021-06-22 12:46:00,86,58,6.1,"M",NA,"R",37,389,26,2021-06-22 14:26:00,"Y",2021-05-03 12:46:00,100
"85",2021-05-03,2021-06-22 12:51:00,87,70,14.3,"M",NA,"R",35,394,24,2021-06-22 14:32:00,"N",2021-05-03 12:51:00,101
"86",2021-05-03,2021-06-22 12:41:00,88,71,13.6,"M",NA,"R",49,391,25,2021-06-22 14:39:00,"Y",2021-05-03 12:41:00,118
"87",2021-05-03,2021-06-22 12:40:00,89,67,12.9,"M",NA,"R",38,395,26,2021-06-22 14:49:00,"Y",2021-05-03 12:40:00,129
"88",2021-05-03,2021-06-22 13:01:00,90,63,8.8,"F","N","R",37,399,26,2021-06-22 15:03:00,"N",2021-05-03 13:01:00,122
"89",2021-05-03,2021-06-22 12:57:00,91,65,10.9,"M",NA,"R",34,377,26,2021-06-22 15:11:00,"N",2021-05-03 12:57:00,134
"90",2021-05-03,2021-06-22 13:03:00,92,65,10.7,"M",NA,"R",39,391,25,2021-06-22 15:23:00,"Y",2021-05-03 13:03:00,140
"91",2021-05-03,2021-06-22 12:40:00,93,71,12,"M",NA,"R",34,417,24,2021-06-22 15:27:00,"N",2021-05-03 12:40:00,167
"92",2021-05-03,2021-06-22 12:46:00,94,69,12.6,"F","N","R",34,386,24,2021-06-22 15:34:00,"N",2021-05-03 12:46:00,168
"93",2021-05-03,2021-06-22 12:55:00,95,73,12.8,"M",NA,"R",23,370,25,2021-06-22 15:40:00,"N",2021-05-03 12:55:00,165
"94",2021-05-03,2021-06-22 12:55:00,96,71,13.4,"M",NA,"R",34,373,25,2021-06-22 15:45:00,"Y",2021-05-03 12:55:00,170
"95",2021-05-03,2021-06-22 12:57:00,97,67,13,"M",NA,"R",40,386,24,2021-06-22 15:52:00,"N",2021-05-03 12:57:00,175
"96",2021-05-03,2021-06-22 12:55:00,98,69,13.6,"M",NA,"R",43,392,24,2021-06-22 15:59:00,"N",2021-05-03 12:55:00,184
"97",2021-05-03,2021-06-22 13:06:00,99,70,13,"M",NA,"R",36,373,24,2021-06-22 16:05:00,"Y",2021-05-03 13:06:00,179
"98",2021-05-10,2021-06-22 12:33:00,100,63,9.4,"F","Y","R",36,384,26,2021-06-22 13:15:00,"N",2021-05-10 12:33:00,42
"99",2021-05-10,2021-06-22 12:36:00,101,66,11,"M",NA,"R",46,373,24,2021-06-22 13:45:00,"Y",2021-05-10 12:36:00,69
"100",2021-05-10,2021-06-22 12:38:00,102,68,13.3,"M",NA,"both",35,373,25,2021-06-22 13:54:00,"N",2021-05-10 12:38:00,76
"101",2021-05-10,2021-06-22 12:36:00,103,69,15,"M",NA,"R",54,347,24,2021-06-22 14:01:00,"N",2021-05-10 12:36:00,85
"102",2021-05-10,2021-06-22 12:34:00,104,70,13.1,"M",NA,"R",39,355,24,2021-06-22 14:10:00,"N",2021-05-10 12:34:00,96
"103",2021-05-10,2021-06-22 12:35:00,105,69,10.9,"M",NA,"R",34,338,24,2021-06-22 14:20:00,"N",2021-05-10 12:35:00,105
"104",2021-05-10,2021-06-22 12:41:00,106,65,10.3,"F","N","R",35,364,23,2021-06-22 14:30:00,"N",2021-05-10 12:41:00,109
"105",2021-05-10,2021-06-22 12:39:00,107,67,7.9,"F","N","R",24,356,23,2021-06-22 14:45:00,"N",2021-05-10 12:39:00,126
"106",2021-05-10,2021-06-22 12:50:00,108,68,11.1,"M",NA,"R",31,331,24,2021-06-22 14:55:00,"N",2021-05-10 12:50:00,125
"107",2021-05-10,2021-06-22 12:52:00,109,62,9.5,"M",NA,"R",37,376,23,2021-06-22 15:08:00,"N",2021-05-10 12:52:00,136
"108",2021-05-10,2021-06-22 12:52:00,110,58,7.7,"M",NA,"R",43,372,24,2021-06-22 15:16:00,"Y",2021-05-10 12:52:00,144
"109",2021-05-10,2021-06-22 12:30:00,111,68,13.8,"F","Y","R",34,349,23,2021-06-22 15:25:00,"N",2021-05-10 12:30:00,175
"110",2021-05-10,2021-06-22 12:40:00,112,69,10.5,"F","Y","R",37,378,23,2021-06-22 15:37:00,"Y",2021-05-10 12:40:00,177
"111",2021-05-10,2021-06-22 12:37:00,113,70,13.3,"M",NA,"R",40,364,21,2021-06-22 16:25:00,"N",2021-05-10 12:37:00,228
"112",2021-05-10,2021-06-22 12:37:00,114,67,11.3,"M",NA,"R",32,359,22,2021-06-22 16:35:00,"N",2021-05-10 12:37:00,238
"113",2021-05-10,2021-06-22 12:44:00,115,66,11.2,"F","Y","R",32,351,22,2021-06-22 15:52:00,"Y",2021-05-10 12:44:00,188
"114",2021-05-10,2021-06-22 12:40:00,116,55,6.5,"F","N","R",38,364,22,2021-06-22 16:02:00,"Y",2021-05-10 12:40:00,202
"115",2021-05-10,2021-06-22 12:52:00,117,67,13,"M",NA,"R",39,352,20,2021-06-22 16:45:00,"N",2021-05-10 12:52:00,233
"116",2021-05-10,2021-06-22 13:03:00,118,68,10.2,"M",NA,"R",22,372,21,2021-06-22 16:50:00,"N",2021-05-10 13:03:00,227
"117",2021-05-10,2021-06-22 12:41:00,119,69,12.4,"F","Y","R",37,406,22,2021-06-22 16:15:00,"Y",2021-05-10 12:41:00,214
"118",2021-05-10,2021-06-22 13:10:00,120,50,5.1,"M",NA,"R",33,371,21,2021-06-22 17:15:00,"Y",2021-05-10 13:10:00,245
"119",2021-05-10,2021-06-22 13:21:00,121,58,7.6,"F","Y","R",35,398,NA,NA,"Y",2021-05-10 13:21:00,NA
"120",2021-05-10,2021-06-22 12:55:00,122,65,11.8,"M",NA,"R",28,363,22,2021-06-22 17:04:00,"N",2021-05-10 12:55:00,249
"121",2021-05-17,2021-06-22 12:19:00,123,72,11.9,"M",NA,"R",52,362,27,2021-06-22 12:47:00,NA,2021-05-17 12:19:00,28
"122",2021-05-17,2021-06-22 12:28:00,124,73,13,"F","Y","R",39,358,26,2021-06-22 12:55:00,NA,2021-05-17 12:28:00,27
"123",2021-05-17,2021-06-22 12:25:00,125,65,9.2,"F","Y","R",37,346,26,2021-06-22 13:23:00,NA,2021-05-17 12:25:00,58
"124",2021-05-17,2021-06-22 12:48:00,126,69,9.7,"F","N","R",36,360,26,2021-06-22 13:36:00,NA,2021-05-17 12:48:00,48
"125",2021-05-17,2021-06-22 12:30:00,127,59,5.6,"F","N","R",38,337,24,2021-06-22 13:46:00,"Y",2021-05-17 12:30:00,76
"126",2021-05-17,2021-06-22 12:33:00,128,61,8.7,"M",NA,"R",35,348,23,2021-06-22 13:58:00,NA,2021-05-17 12:33:00,85
"127",2021-05-17,2021-06-22 12:31:00,129,70,11.2,"M",NA,"R",32,359,23,2021-06-22 14:06:00,NA,2021-05-17 12:31:00,95
"128",2021-05-17,2021-06-22 12:49:00,130,73,12.7,"M",NA,"R",31,346,25,2021-06-22 14:19:00,NA,2021-05-17 12:49:00,90
"129",2021-05-17,2021-06-22 12:34:00,131,68,10.9,"F","Y","R",29,362,24,2021-06-22 14:28:00,NA,2021-05-17 12:34:00,114
"130",2021-05-17,2021-06-22 12:24:00,132,70,11.7,"M",NA,"R",36,355,25,2021-06-22 14:36:00,NA,2021-05-17 12:24:00,132
"131",2021-05-17,2021-06-22 12:33:00,133,71,13.1,"F","Y","R",35,371,25,2021-06-22 14:45:00,NA,2021-05-17 12:33:00,132
"132",2021-05-17,2021-06-22 12:38:00,134,59,5.3,"M",NA,"R",39,365,24,2021-06-22 14:54:00,NA,2021-05-17 12:38:00,136
"133",2021-05-17,2021-06-22 13:01:00,135,71,14.6,"M",NA,"R",41,362,23,2021-06-22 15:08:00,NA,2021-05-17 13:01:00,127
"134",2021-05-17,2021-06-22 12:47:00,136,67,12.7,"F","Y","R",27,368,22,2021-06-22 15:19:00,NA,2021-05-17 12:47:00,152
"135",2021-05-17,2021-06-22 12:57:00,137,68,10.8,"F","Y","R",31,368,24,2021-06-22 15:31:00,NA,2021-05-17 12:57:00,154
"136",2021-05-17,2021-06-22 12:35:00,138,66,9.8,"F","Y","R",27,387,21,2021-06-22 15:42:00,NA,2021-05-17 12:35:00,187
"137",2021-05-17,2021-06-22 12:47:00,139,70,10.7,"F","N","R",34,394,22,2021-06-22 15:52:00,"Y",2021-05-17 12:47:00,185
"138",2021-05-17,2021-06-22 12:38:00,140,66,10.8,"M",NA,"R",30,347,22,2021-06-22 16:00:00,NA,2021-05-17 12:38:00,202
"139",2021-05-17,2021-06-22 12:31:00,141,55,6.4,"F","N","R",36,387,22,2021-06-22 16:09:00,"Y",2021-05-17 12:31:00,218
"140",2021-05-17,2021-06-22 12:54:00,142,69,12.4,"F","Y","R",33,387,22,2021-06-22 16:18:00,NA,2021-05-17 12:54:00,204
"141",2021-05-17,2021-06-22 12:37:00,143,68,11.7,"F","Y","R",38,384,22,2021-06-22 16:30:00,"Y",2021-05-17 12:37:00,233
"142",2021-05-17,2021-06-22 12:39:00,144,72,13.3,"M",NA,"R",36,366,22,2021-06-22 16:38:00,NA,2021-05-17 12:39:00,239
"143",2021-05-17,2021-06-22 12:27:00,145,69,12.3,"M",NA,"R",39,355,23,2021-06-22 16:46:00,NA,2021-05-17 12:27:00,259
"144",2021-05-17,2021-06-22 12:53:00,146,67,10.7,"M",NA,"R",26,371,24,2021-06-22 16:54:00,"Y",2021-05-17 12:53:00,241
"145",2021-05-17,2021-06-22 12:40:00,147,67,10.2,"F","Y","R",27,375,23,2021-06-22 16:59:00,"Y",2021-05-17 12:40:00,259
"146",2021-05-17,2021-06-22 12:45:00,148,67,12,"M",NA,"R",36,387,23,2021-06-22 17:06:00,NA,2021-05-17 12:45:00,261
"147",2021-05-17,2021-06-22 12:48:00,149,60,7.7,"M",NA,"R",38,425,24,2021-06-22 17:14:00,NA,2021-05-17 12:48:00,266
"148",2021-05-17,2021-06-22 12:55:00,150,60,6.9,"M",NA,"R",42,436,22,2021-06-22 17:23:00,"Y",2021-05-17 12:55:00,268
